model,model_label,seed,anchor_date,days_to_event_start,label,probability,selected_threshold,alert,source_file
plain_gnn,Plain-GNN,21,2022-03-17,51,0,0.002716064453125,0.5859375,0,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-03-25,43,0,0.00628662109375,0.5859375,0,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-04-02,35,0,0.66796875,0.5859375,1,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-04-10,27,1,0.81640625,0.5859375,1,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-04-18,19,1,0.81640625,0.5859375,1,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-04-26,11,1,0.81640625,0.5859375,1,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-05-04,3,1,0.8203125,0.5859375,1,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-03-01,67,0,0.002716064453125,0.271484375,0,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-03-09,59,0,0.002716064453125,0.271484375,0,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-03-17,51,0,0.00262451171875,0.271484375,0,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-03-25,43,0,0.00347900390625,0.271484375,0,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-04-02,35,0,0.294921875,0.271484375,1,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-04-10,27,1,0.498046875,0.271484375,1,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-04-18,19,1,0.5,0.271484375,1,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-04-26,11,1,0.5,0.271484375,1,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,42,2022-05-04,3,1,0.51953125,0.271484375,1,/mnt/data/_points/causal30_v1/seed_42/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-03-01,67,0,0.166015625,0.2109375,0,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-03-09,59,0,0.166015625,0.2109375,0,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-03-17,51,0,0.1904296875,0.2109375,0,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-03-25,43,0,0.21484375,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-04-02,35,0,0.248046875,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-04-10,27,1,0.255859375,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-04-18,19,1,0.255859375,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-04-26,11,1,0.255859375,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,84,2022-05-04,3,1,0.255859375,0.2109375,1,/mnt/data/_points/causal30_v1/seed_84/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-03-01,67,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-03-09,59,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-03-17,51,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-03-25,43,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-04-02,35,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,123,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/plain_gnn/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-03-01,67,0,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-03-09,59,0,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-03-17,51,0,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-03-25,43,0,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-04-02,35,0,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-04-10,27,1,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-04-18,19,1,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-04-26,11,1,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,7,2022-05-04,3,1,0.06298828125,0.06005859375,1,/mnt/data/_points/causal30_v1/seed_7/temporal_gru/predictions_test.npz
